02:21.140	ID:6	18026	P	193.12	27	160838	4425609	39632	34823	0	0	7402	156377	3075	1008	0	0	(radio	1.62%	/	2.49%	tx	0.86%	/	1.87%	listen	0.75%	/	0.61%)
02:26.139	ID:6	18666	P	193.12	28	163284	4586944	39632	35783	0	0	2444	161335	0	960	0	0	(radio	1.58%	/	0.58%	tx	0.83%	/	0.00%	listen	0.75%	/	0.58%)
02:31.139	ID:6	19306	P	193.12	29	167748	4746263	39632	36961	0	0	4462	159319	0	1178	0	0	(radio	1.55%	/	0.71%	tx	0.80%	/	0.00%	listen	0.75%	/	0.71%)
02:36.139	ID:6	19946	P	193.12	30	170166	4907626	39632	37921	0	0	2416	161363	0	960	0	0	(radio	1.52%	/	0.58%	tx	0.78%	/	0.00%	listen	0.74%	/	0.58%)
02:41.139	ID:6	20586	P	193.12	31	172565	5069008	39632	38881	0	0	2397	161382	0	960	0	0	(radio	1.49%	/	0.58%	tx	0.75%	/	0.00%	listen	0.74%	/	0.58%)
02:46.140	ID:6	21226	P	193.12	32	180006	5225352	42703	39889	0	0	7439	156344	3071	1008	0	0	(radio	1.52%	/	2.49%	tx	0.79%	/	1.87%	listen	0.73%	/	0.61%)
02:51.139	ID:6	21866	P	193.12	33	182459	5386679	42703	40849	0	0	2451	161327	0	960	0	0	(radio	1.50%	/	0.58%	tx	0.76%	/	0.00%	listen	0.73%	/	0.58%)
02:56.139	ID:6	22506	P	193.12	34	184887	5548033	42703	41809	0	0	2426	161354	0	960	0	0	(radio	1.47%	/	0.58%	tx	0.74%	/	0.00%	listen	0.72%	/	0.58%)
03:01.139	ID:6	23146	P	193.12	35	187308	5709395	42703	42769	0	0	2419	161362	0	960	0	0	(radio	1.44%	/	0.58%	tx	0.72%	/	0.00%	listen	0.72%	/	0.58%)
03:06.139	ID:6	23786	P	193.12	36	189712	5870772	42703	43729	0	0	2402	161377	0	960	0	0	(radio	1.42%	/	0.58%	tx	0.70%	/	0.00%	listen	0.72%	/	0.58%)
03:11.139	ID:6	24426	P	193.12	37	192109	6032156	42703	44689	0	0	2395	161384	0	960	0	0	(radio	1.40%	/	0.58%	tx	0.68%	/	0.00%	listen	0.71%	/	0.58%)
03:16.139	ID:6	25066	P	193.12	38	194530	6193518	42703	45649	0	0	2419	161362	0	960	0	0	(radio	1.38%	/	0.58%	tx	0.66%	/	0.00%	listen	0.71%	/	0.58%)
03:21.139	ID:6	25706	P	193.12	39	196936	6354893	42703	46609	0	0	2404	161375	0	960	0	0	(radio	1.36%	/	0.58%	tx	0.65%	/	0.00%	listen	0.71%	/	0.58%)
03:26.139	ID:6	26346	P	193.12	40	201361	6514250	42703	47787	0	0	4423	159357	0	1178	0	0	(radio	1.34%	/	0.71%	tx	0.63%	/	0.00%	listen	0.71%	/	0.71%)
03:31.140	ID:6	26986	P	193.12	41	208643	6670752	45677	48771	0	0	7280	156502	2974	984	0	0	(radio	1.37%	/	2.41%	tx	0.66%	/	1.81%	listen	0.70%	/	0.60%)
03:36.139	ID:6	27626	P	193.12	42	211084	6832092	45677	49731	0	0	2439	161340	0	960	0	0	(radio	1.35%	/	0.58%	tx	0.64%	/	0.00%	listen	0.70%	/	0.58%)
03:41.139	ID:6	28266	P	193.12	43	213481	6993476	45677	50691	0	0	2395	161384	0	960	0	0	(radio	1.33%	/	0.58%	tx	0.63%	/	0.00%	listen	0.70%	/	0.58%)
03:46.139	ID:6	28906	P	193.12	44	215902	7154838	45677	51651	0	0	2419	161362	0	960	0	0	(radio	1.32%	/	0.58%	tx	0.61%	/	0.00%	listen	0.70%	/	0.58%)
03:51.139	ID:6	29546	P	193.12	45	218308	7316213	45677	52611	0	0	2404	161375	0	960	0	0	(radio	1.30%	/	0.58%	tx	0.60%	/	0.00%	listen	0.69%	/	0.58%)
03:56.139	ID:6	30186	P	193.12	46	220705	7477597	45677	53571	0	0	2395	161384	0	960	0	0	(radio	1.28%	/	0.58%	tx	0.59%	/	0.00%	listen	0.69%	/	0.58%)
04:01.139	ID:6	30826	P	193.12	47	223157	7638929	45677	54531	0	0	2450	161332	0	960	0	0	(radio	1.27%	/	0.58%	tx	0.58%	/	0.00%	listen	0.69%	/	0.58%)
04:06.139	ID:6	31466	P	193.12	48	225563	7800304	45677	55491	0	0	2404	161375	0	960	0	0	(radio	1.26%	/	0.58%	tx	0.56%	/	0.00%	listen	0.69%	/	0.58%)
04:11.139	ID:6	32106	P	193.12	49	227962	7961686	45677	56451	0	0	2397	161382	0	960	0	0	(radio	1.24%	/	0.58%	tx	0.55%	/	0.00%	listen	0.68%	/	0.58%)
04:16.139	ID:6	32746	P	193.12	50	230383	8123048	45677	57411	0	0	2419	161362	0	960	0	0	(radio	1.23%	/	0.58%	tx	0.54%	/	0.00%	listen	0.68%	/	0.58%)
04:21.139	ID:6	33386	P	193.12	51	235724	8281516	45677	59108	0	0	5339	158468	0	1697	0	0	(radio	1.23%	/	1.03%	tx	0.53%	/	0.00%	listen	0.69%	/	1.03%)
04:26.140	ID:6	34026	P	193.12	52	253606	8427446	50027	61599	0	0	17880	145930	4350	2491	0	0	(radio	1.28%	/	4.17%	tx	0.57%	/	2.65%	listen	0.70%	/	1.52%)
